BBSID, Signal, Time, Timestamp
00:20:a6:cf:85:27,-90,13132511,2212106996
28:34:a2:28:5f:ff,-64,13132511,2218424994
8c:34:fd:46:1c:37,-80,13132511,2218425207
34:fc:b9:3c:f0:51,-92,13132511,2218426150
00:03:52:a9:5d:a0,-89,13132511,2218425949
00:03:52:a9:5d:a4,-89,13132511,2218425926
bc:5c:4c:6c:56:2f,-89,13132511,2218425711
74:03:bd:63:bd:00,-89,13132511,2218425761
00:03:52:e3:7a:a2,-87,13132511,2218425841
00:03:52:e3:7a:a0,-89,13132511,2218426021
delimiter,delimiter,delimiter,delimiter
00:1a:1e:8e:ef:e2,-87,13132512,2218425621
00:1a:1e:8e:ef:e1,-86,13132512,2218425540
00:1a:1e:8e:ef:e3,-87,13132512,2218425596
00:1a:1e:8e:ef:e0,-87,13132512,2218425644
40:01:7a:97:2e:cf,-85,13132512,2221549520
50:0f:80:d9:36:2f,-85,13132512,2212106253
38:90:a5:59:af:4f,-83,13132512,2212106132
00:03:52:a9:5d:a5,-89,13132512,2218425972
00:03:52:a9:5d:aa,-80,13132512,2212106105
00:03:52:a9:5d:a9,-87,13132512,2218426102
a4:12:42:75:b4:03,-73,13132512,2221549318
30:f7:72:f6:3c:33,-87,13132512,2218425570
30:f7:72:f6:3c:30,-86,13132512,2218425500
48:a1:95:e9:0b:cb,-85,13132512,2221549583
00:03:52:e3:7a:a5,-89,13132512,2218425998
00:03:52:e3:7a:a1,-87,13132512,2218425873
a4:12:42:75:b4:02,-77,13132512,2221549494
cc:e1:d5:8f:6e:76,-75,13132512,2221549348
88:57:ee:f2:6a:4c,-87,13132512,2218425666
00:1a:1e:83:c1:61,-49,13132512,2221549136
88:57:ee:f2:6a:48,-81,13132512,2218425379
10:4b:46:73:b4:5b,-86,13132512,2212106767
b6:12:42:75:b4:02,-72,13132512,2221549464
00:03:52:e3:7a:ae,-84,13132512,2218425450
00:1a:1e:83:c1:60,-48,13132512,2221549105
00:1a:1e:83:c1:63,-48,13132512,2221549055
cc:e1:d5:8f:6e:71,-74,13132512,2221549376
bc:5c:4c:00:0c:97,-82,13132512,2212106121
00:1a:1e:83:c1:62,-50,13132512,2221549163
10:6f:3f:37:5e:bb,-72,13132512,2221549434
00:20:a6:cf:6f:b9,-68,13132512,2221549227
00:03:52:a9:5d:a8,-89,13132512,2218426126
00:03:52:e3:7a:a8,-83,13132512,2212106724
02:18:1a:84:ab:ee,-84,13132512,2218425283
00:03:52:e3:7a:a9,-81,13132512,2212106400
98:f1:99:87:05:ae,-85,13132512,2218425403
00:03:52:e3:7a:a3,-88,13132512,2218425896
00:03:52:e3:7a:a4,-87,13132512,2218425788
00:24:a5:c1:60:71,-69,13132512,2218425020
34:fc:b9:3c:f0:31,-80,13132512,2212105908
10:4b:46:73:b4:97,-85,13132512,2212106244
34:fc:b9:3c:f0:30,-81,13132512,2212106113
6e:19:8f:e6:37:bf,-87,13132512,2212106783
6e:19:8f:e6:38:3a,-90,13132512,2218425736
b0:55:08:4d:91:70,-82,13132512,2218425331
6c:19:8f:e6:37:bf,-85,13132512,2212106209
00:35:1a:dc:79:ad,-84,13132512,2212106183
6c:19:8f:e6:38:3a,-91,13132512,2218426175
30:74:96:70:6c:f1,-85,13132512,2218425357
7e:19:8f:e6:37:bf,-88,13132512,2212106806
7e:19:8f:e6:38:3a,-88,13132512,2212106888
34:76:c5:84:48:37,-86,13132512,2212106870
0e:19:8f:e6:38:38,-79,13132512,2212106003
20:4c:9e:eb:24:7e,-77,13132512,2212105919
00:03:52:a9:5d:ac,-87,13132512,2218426078
1e:19:8f:e6:37:bd,-79,13132512,2212105994
20:4c:9e:eb:24:72,-72,13132512,2212105858
20:4c:9e:eb:24:7f,-78,13132512,2212105928
20:4c:9e:eb:24:7d,-80,13132512,2212105956
0e:19:8f:e6:37:bd,-77,13132512,2212105974
88:57:ee:f8:c4:c0,-71,13132512,2221549405
34:fc:b9:3d:13:71,-86,13132512,2212106750
34:fc:b9:3d:13:70,-85,13132512,2212106218
58:ac:78:55:f3:de,-88,13132512,2212106790
58:ac:78:55:f3:dd,-88,13132512,2212106798
20:4c:9e:eb:29:6e,-90,13132512,2212106946
20:4c:9e:eb:29:6f,-90,13132512,2212106936
58:ac:78:55:f3:df,-90,13132512,2212106860
20:4c:9e:eb:29:6d,-89,13132512,2212106911
00:78:88:5c:8e:40,-85,13132512,2212106312
88:57:ee:b3:6b:bd,-88,13132512,2218425689
20:4c:9e:eb:24:71,-74,13132512,2212105881
